orderID,productID,unitPrice,quantity,discount,lineTotal
10248,11,14.0,12,0.0,168.0
10248,42,9.8,10,0.0,98.0
10248,72,34.8,5,0.0,174.0
10249,14,18.6,9,0.0,167.4
10249,51,42.4,40,0.0,1696.0
10250,41,7.7,10,0.0,77.0
10250,51,42.4,35,0.15,1261.3999999999999
10250,65,16.8,15,0.15,214.2
10251,22,16.8,6,0.05,95.76
10251,57,15.6,15,0.05,222.29999999999998
10251,65,16.8,20,0.0,336.0
10252,20,64.8,40,0.05,2462.4
10252,33,2.0,25,0.05,47.5
10252,60,27.2,40,0.0,1088.0
10253,31,10.0,20,0.0,200.0
10253,39,14.4,42,0.0,604.8000000000001
10253,49,16.0,40,0.0,640.0
10254,24,3.6,15,0.15,45.9
10254,55,19.2,21,0.15,342.71999999999997
10254,74,8.0,21,0.0,168.0
10255,2,15.2,20,0.0,304.0
10255,16,13.9,35,0.0,486.5
10255,36,15.2,25,0.0,380.0
10255,59,44.0,30,0.0,1320.0
10256,53,26.2,15,0.0,393.0
10256,77,10.4,12,0.0,124.80000000000001
10257,27,35.1,25,0.0,877.5
10257,39,14.4,6,0.0,86.4
10257,77,10.4,15,0.0,156.0
10258,2,15.2,50,0.2,608.0
10258,5,17.0,65,0.2,884.0
10258,32,25.6,6,0.2,122.88000000000002
10259,21,8.0,10,0.0,80.0
10259,37,20.8,1,0.0,20.8
10260,41,7.7,16,0.25,92.4
10260,57,15.6,50,0.0,780.0
10260,62,39.4,15,0.25,443.25
10260,70,12.0,21,0.25,189.0
10261,21,8.0,20,0.0,160.0
10261,35,14.4,20,0.0,288.0
10262,5,17.0,12,0.2,163.20000000000002
10262,7,24.0,15,0.0,360.0
10262,56,30.4,2,0.0,60.8
10263,16,13.9,60,0.25,625.5
10263,24,3.6,28,0.0,100.8
10263,30,20.7,60,0.25,931.5
10263,74,8.0,36,0.25,216.0
10264,2,15.2,35,0.0,532.0
10264,41,7.7,25,0.15,163.625
